co2	temp	humidity
434	25.06	45.06
434	25.08	45.08
434	25.06	45.1
435	25.08	45.05
434	25.06	45.04
435	25.08	45.03
435	25.08	45.05
435	25.09	45.06
435	25.09	45.08
434	25.08	45.1
434	25.1	45.09
434	25.1	45.08
434	25.05	45.05
435	25.06	45.09
434	25.1	45.04
433	25.06	45.08
432	25.06	45.02
433	25.05	45.02
432	25.05	45.07
432	25.06	45.1
431	25.08	45.1
431	25.08	45.1
430	25.08	45.13
430	25.05	45.11
430	25.05	45.15
429	25.06	45.1
429	25.08	45.16
429	25.06	45.07
429	25.06	45.13
428	25.05	45.12
429	25.03	45.14
429	25.05	45.12
428	25.05	45.16
429	25.03	45.17
429	25.02	45.18
429	25.06	45.23
430	25.06	45.28
429	25.03	45.31
429	25.03	45.28
430	25.03	45.29
430	25.05	45.24
431	25.06	45.24
434	25.02	45.31
434	25.03	45.36
435	25.05	45.34
435	25.0	45.35
438	25.03	45.33
439	25.03	45.28
440	25.02	45.27
440	25.03	45.29
441	25.02	45.26
441	25.05	45.22
441	25.0	45.31
441	25.0	45.35
442	25.05	45.34
443	25.02	45.36
444	25.0	45.32
446	25.02	45.38
446	24.99	45.35
450	25.02	45.36
450	25.0	45.32
451	25.0	45.35
451	25.0	45.35
450	25.0	45.36
450	24.98	45.39
452	24.99	45.38
452	24.98	45.51
453	24.98	45.51
453	24.99	45.6
455	24.99	45.62
456	24.99	45.62
457	24.96	45.64
459	24.98	45.61
460	24.98	45.69
464	24.96	45.67
467	24.95	45.67
469	24.96	45.65
468	24.96	45.71
470	24.96	45.67
472	24.96	45.65
472	24.95	45.65
472	24.93	45.61
475	24.92	45.62
476	24.95	45.56
476	24.96	45.6
476	24.92	45.62
475	24.95	45.63
475	24.92	45.64
475	24.93	45.71
476	24.93	45.76
476	24.93	45.78
477	24.92	45.76
478	24.93	45.73
477	24.92	45.8
478	24.92	45.8
478	24.92	45.74
479	24.95	45.85
481	24.93	45.87
480	24.89	46.02
484	24.92	45.99
485	24.91	46.06
485	24.93	46.27
486	24.93	46.17
485	24.92	46.14
487	24.92	46.09
487	24.93	45.97
490	24.92	46.01
491	24.92	46.08
492	24.93	46.13
492	24.93	46.11
493	24.92	46.08
494	24.95	46.36
496	24.95	46.59
497	24.93	46.41
503	24.95	46.17
504	24.95	46.09
507	24.92	46.04
508	24.93	46.35
509	24.93	46.34
510	24.95	46.27
511	24.93	46.29
513	24.95	46.42
515	24.95	46.38
517	25.0	46.4
519	24.98	46.17
526	24.99	46.27
528	24.99	46.38
531	25.0	46.28
532	25.0	46.23
534	25.0	46.28
534	25.02	46.32
535	25.03	46.19
538	25.06	46.19
540	25.03	46.4
540	25.05	46.38
541	25.03	46.25
541	25.06	46.21
543	25.08	46.12
545	25.09	46.06
545	25.08	46.09
545	25.09	46.06
544	25.09	46.05
545	25.08	46.08
546	25.12	46.04
548	25.13	45.95
548	25.13	45.99
549	25.12	46.16
549	25.12	46.06
548	25.13	46.04
549	25.12	46.02
549	25.16	46.02
549	25.15	46.02
549	25.15	45.96
549	25.12	45.93
549	25.18	46.03
549	25.16	45.98
550	25.15	45.96
550	25.16	45.96
549	25.15	45.9
549	25.15	45.9
549	25.15	45.99
550	25.18	45.93
550	25.19	45.95
549	25.16	45.93
549	25.18	45.88
548	25.18	45.87
550	25.18	45.89
550	25.18	45.89
551	25.19	45.87
550	25.16	45.82
550	25.19	45.92
551	25.19	45.96
552	25.23	45.92
552	25.2	45.93
551	25.18	45.85
551	25.2	45.86
551	25.19	45.86
552	25.2	46.03
551	25.22	46.0
551	25.22	45.87
550	25.25	45.98
550	25.22	45.93
550	25.25	45.84
549	25.22	45.86
549	25.22	45.94
550	25.22	45.89
551	25.22	45.8
551	25.22	45.84
551	25.23	45.82
550	25.22	45.81
550	25.22	45.81
549	25.23	45.78
549	25.23	45.76
546	25.25	45.79
546	25.25	45.78
546	25.23	46.03
545	25.25	46.02
545	25.23	45.85
544	25.25	45.79
544	25.23	45.9
544	25.23	45.8
544	25.26	45.77
543	25.26	45.77
543	25.27	45.85
543	25.26	45.87
544	25.26	45.83
544	25.26	45.91
544	25.25	45.87
543	25.25	45.83
544	25.29	45.79
544	25.26	45.82
